# wavelength_A flux_1e-17 err_1e-17
4450.4106 0.60422432 0.37731045
4451.4341 0.021400001 0.36979556
4452.4609 0.051825829 0.36997014
4453.4849 0.55657333 0.38583365
4454.5098 0.38384011 0.38567001
4455.5366 -0.83391494 0.3915498
4456.5615 0.53839189 0.40666956
4457.5894 -0.057175972 0.39341566
4458.6147 -0.018768527 0.37808198
4459.6431 -0.014421768 0.35932899
4460.6689 -0.31605446 0.34852955
4461.6953 0.1036643 0.35183194
4462.7241 0.0085607069 0.35822585
4463.7505 -0.35669547 0.34395692
4464.7798 0.30415753 0.35450995
4465.8071 0.054481924 0.35771599
4466.8369 0.34682855 0.36655554
4467.8643 0.39896348 0.36651564
4468.8921 0.015111726 0.37684032
4469.9229 0.49318072 0.38037157
4470.9512 0.3714681 0.38531697
4471.9819 2.2445405 0.4111048
4473.0107 -0.29497829 0.39739147
4474.0425 0.68623734 0.39495784
4475.0718 -0.32076815 0.36648887
4476.1011 -0.49607736 0.34344813
4477.1333 -0.23468553 0.34466708
4478.1631 -0.012720936 0.33675712
4479.1958 -0.32378274 0.32461634
4480.2266 0.42961532 0.33761325
4481.2593 0.46365145 0.35379511
4482.2905 -0.11360791 0.35594061
4483.3213 -0.07715594 0.37210706
4484.3555 0.073984869 0.358345
4485.3872 0.014080128 0.35062903
4486.4214 0.27068302 0.33923355
4487.4536 0.51006699 0.33749476
4488.4883 -0.012174542 0.33730292
4489.521 0.16003074 0.33537126
4490.5537 1.0797092 0.33635321
4491.5889 0.027318981 0.3337338
4492.6226 0.82740635 0.35238221
4493.6582 0.35940531 0.35590479
4494.6919 0.010115246 0.35073572
4495.7285 -0.5892998 0.33658323
4496.7627 0.24325719 0.34376156
4497.7998 0.49835542 0.35024953
4498.8345 0.7632668 0.3496874
4499.8696 0.20113446 0.35375628
4500.9072 -0.37303454 0.35910681
4501.9424 0.4738144 0.36656919
4502.9805 -0.17943807 0.36091015
4504.0166 0.10353386 0.34902123
4505.0552 0.31085777 0.35784441
4506.0913 0.87388408 0.35454282
4507.1279 0.1798076 0.35809961
4508.1675 0.25878158 0.35791689
4509.2046 -0.27042446 0.33482051
4510.2446 -0.18210876 0.32931557
4511.2822 -0.46688575 0.32952774
4512.3223 0.49874166 0.35115999
4513.3604 0.2384077 0.35942647
4514.3984 -0.37239316 0.34337857
4515.4395 0.17191769 0.34278682
4516.4785 0.2199095 0.3665041
4517.52 0.25676164 0.39059374
4518.5591 0.31227589 0.40642256
4519.6011 0.10157988 0.40129027
4520.6406 0.73901403 0.39389309
4521.6807 -0.5540967 0.35723117
4522.7236 -0.19099103 0.35271835
4523.7642 0.0813381 0.36118203
4524.8071 0.46002212 0.36447477
4525.8481 0.62075907 0.3651475
4526.8916 0.75400722 0.36371496
4527.9331 0.3104144 0.35160467
4528.9746 0.0039903964 0.34226599
4530.019 -0.36805302 0.34452438
4531.061 0.2087878 0.33458999
4532.106 -0.35754344 0.3385734
4533.1489 -0.26619589 0.35181108
4534.1938 0.79952049 0.37703076
4535.2373 0.48823413 0.37975675
4536.2803 -0.023341717 0.3557362
4537.3267 1.1399601 0.37393317
4538.3701 1.0070372 0.35946441
4539.417 0.21724901 0.36280003
4540.4609 0.72263443 0.3698335
4541.5083 0.80960393 0.37013292
4542.5527 0.69140351 0.36126453
4543.5981 0.28699672 0.34933653
4544.6455 -0.15441658 0.34130493
4545.6909 0.70479953 0.34707078
4546.7393 0.12264641 0.35858953
4547.7852 0.073112652 0.3745921
4548.834 0.25749162 0.3944425
4549.8804 0.37454331 0.39491364
4550.9272 0.22147606 0.3780584
4551.9766 -0.28385842 0.33965123
4553.0239 0.021293906 0.33648565
4554.0737 0.39586911 0.35132375
